iter	Passed	Remaining
0	2	291
1	6	301
2	8	284
3	10	263
4	13	259
5	16	261
6	19	260
7	22	259
8	25	255
9	28	257
10	31	253
11	34	251
12	37	249
13	40	247
14	43	245
15	46	242
16	49	239
17	52	238
18	55	236
19	58	233
20	61	231
21	64	230
22	68	228
23	71	225
24	74	222
25	77	219
26	79	215
27	82	212
28	85	210
29	88	207
30	91	204
31	94	201
32	97	197
33	100	194
34	102	190
35	105	188
36	109	185
37	111	182
38	114	179
39	117	175
40	120	172
41	121	167
42	124	164
43	127	162
44	129	158
45	132	155
46	135	153
47	138	150
48	141	147
49	145	145
50	148	142
51	151	139
52	154	136
53	157	133
54	159	130
55	161	126
56	164	124
57	167	121
58	170	118
59	173	115
60	176	112
61	179	109
62	180	105
63	181	101
64	182	98
65	183	94
66	184	90
67	185	87
68	186	83
69	187	80
70	188	76
71	189	73
72	190	70
73	191	67
74	192	64
75	193	60
76	194	57
77	194	54
78	196	52
79	197	49
80	198	46
81	199	43
82	200	40
83	201	38
84	202	35
85	203	33
86	204	30
87	205	27
88	206	25
89	207	23
90	208	20
91	209	18
92	210	15
93	211	13
94	212	11
95	213	8
96	213	6
97	214	4
98	215	2
99	216	0
