iter	Passed	Remaining
0	136	136223
1	138	69026
2	139	46383
3	140	35085
4	142	28274
5	143	23754
6	144	20506
7	145	18065
8	146	16173
9	148	14654
10	149	13430
11	150	12418
12	152	11578
13	153	10844
14	155	10180
15	156	9624
16	157	9116
17	158	8667
18	160	8264
19	161	7893
20	162	7561
21	163	7266
22	164	6988
23	165	6738
24	167	6523
25	168	6310
26	169	6113
27	171	5938
28	172	5762
29	173	5599
30	174	5450
31	175	5309
32	176	5185
33	178	5058
34	179	4945
35	181	4847
36	182	4742
37	183	4650
38	184	4555
39	185	4461
40	186	4373
41	188	4292
42	189	4221
43	190	4148
44	191	4074
45	193	4017
46	195	3958
47	196	3900
48	198	3847
49	199	3789
50	200	3734
51	201	3677
52	202	3626
53	204	3586
54	205	3536
55	206	3488
56	208	3449
57	209	3405
58	211	3365
59	212	3330
60	213	3289
61	214	3248
62	215	3209
63	216	3172
64	218	3136
65	219	3102
66	220	3068
67	221	3033
68	222	3000
69	224	2976
70	225	2951
71	226	2923
72	227	2894
73	228	2863
74	229	2834
75	230	2806
76	231	2779
77	233	2756
78	234	2732
79	235	2704
80	236	2680
81	237	2655
82	237	2628
83	239	2609
84	240	2591
85	242	2571
86	243	2550
87	244	2529
88	245	2510
89	246	2488
90	247	2470
91	248	2450
92	249	2430
93	250	2412
94	251	2393
95	252	2376
96	254	2365
97	255	2349
98	256	2330
99	257	2314
100	258	2298
101	259	2281
102	260	2265
103	261	2250
104	262	2234
105	263	2219
106	264	2205
107	265	2190
108	266	2175
109	267	2164
110	269	2158
111	270	2148
112	272	2136
113	273	2124
114	274	2111
115	275	2099
116	276	2085
117	277	2072
118	278	2059
119	279	2047
120	280	2034
121	280	2021
122	282	2016
123	284	2007
124	285	1997
125	286	1988
126	287	1976
127	288	1966
128	290	1958
129	291	1949
130	292	1939
131	293	1929
132	294	1921
133	295	1911
134	297	1908
135	299	1900
136	300	1892
137	301	1882
138	302	1873
139	303	1866
140	304	1857
141	305	1846
142	306	1837
143	307	1829
144	308	1820
145	309	1811
146	311	1804
147	312	1801
148	314	1794
149	315	1786
150	316	1779
151	317	1772
152	318	1764
153	319	1756
154	320	1748
155	321	1741
156	322	1733
157	323	1725
158	324	1718
159	326	1712
160	327	1705
161	328	1699
162	329	1694
163	331	1687
164	332	1681
165	333	1674
166	334	1667
167	335	1660
168	336	1653
169	337	1647
170	338	1641
171	339	1636
172	341	1630
173	342	1626
174	343	1620
175	344	1614
176	345	1608
177	346	1602
178	347	1596
179	348	1589
180	349	1583
181	350	1577
182	351	1570
183	352	1565
184	354	1559
185	355	1554
186	356	1549
187	357	1544
188	359	1540
189	360	1537
190	361	1532
191	362	1526
192	363	1521
193	364	1516
194	366	1511
195	367	1505
196	368	1500
197	369	1496
198	370	1491
199	372	1489
200	373	1484
201	374	1479
202	375	1475
203	376	1470
204	377	1465
205	378	1459
206	379	1454
207	380	1449
208	381	1444
209	382	1439
210	383	1434
211	384	1429
212	385	1425
213	387	1422
214	388	1418
215	389	1414
216	390	1410
217	391	1405
218	393	1401
219	394	1397
220	395	1392
221	396	1389
222	397	1385
223	398	1380
224	399	1376
225	401	1374
226	402	1371
227	404	1368
228	405	1364
229	406	1360
230	407	1356
231	408	1352
232	409	1347
233	410	1343
234	411	1339
235	412	1335
236	413	1331
237	414	1327
238	415	1324
239	417	1321
240	418	1319
241	420	1316
242	421	1312
243	422	1308
244	423	1304
245	424	1301
246	425	1297
247	426	1294
248	427	1290
249	428	1286
250	429	1282
251	431	1280
252	432	1276
253	433	1273
254	434	1269
255	435	1266
256	436	1262
257	437	1258
258	438	1255
259	439	1250
260	440	1247
261	441	1243
262	442	1239
263	443	1235
264	445	1235
265	447	1233
266	448	1230
267	449	1227
268	450	1223
269	451	1220
270	452	1217
271	453	1213
272	454	1210
273	455	1207
274	456	1204
275	458	1201
276	460	1201
277	461	1199
278	463	1197
279	464	1194
280	465	1191
281	466	1187
282	467	1184
283	468	1181
284	469	1177
285	470	1174
286	471	1171
287	472	1168
288	473	1165
289	474	1162
290	476	1159
291	477	1157
292	478	1154
293	479	1152
294	480	1148
295	481	1145
296	482	1142
297	483	1139
298	484	1136
299	485	1133
300	486	1130
301	487	1127
302	489	1125
303	490	1123
304	491	1120
305	492	1117
306	493	1114
307	494	1111
308	495	1108
309	496	1105
310	497	1102
311	498	1099
312	499	1096
313	500	1093
314	501	1090
315	502	1086
316	503	1084
317	504	1081
318	505	1079
319	506	1077
320	507	1074
321	508	1071
322	510	1069
323	511	1066
324	512	1064
325	513	1061
326	514	1058
327	515	1055
328	516	1053
329	517	1050
330	518	1048
331	519	1046
332	521	1043
333	522	1041
334	523	1038
335	524	1035
336	525	1033
337	526	1030
338	527	1028
339	528	1025
340	529	1022
341	530	1019
342	530	1017
343	531	1014
344	532	1011
345	534	1009
346	535	1007
347	536	1005
348	537	1002
349	538	1000
350	539	997
351	540	995
352	541	992
353	542	990
354	543	988
355	544	985
356	545	982
357	546	980
358	547	977
359	548	975
360	550	973
361	551	971
362	552	969
